CustomerID,City,NoOfChildren,MinAgeOfChild,MaxAgeOfChild,Tenure,FrquncyOfPurchase,NoOfUnitsPurchased,FrequencyOFPlay,NoOfGamesPlayed,NoOfGamesBought,FavoriteChannelOfTransaction,FavoriteGame,TotalRevenueGenerated
1100,2,1,5,5,372,10,10,2992,198,10,Favorite,Uniform,143.6
1101,2,1,5,5,273,13,13,2334,140,13,Favorite,Uniform,108.02
1102,2,2,4,6,403,7,7,130,10,7,Favorite,Uniform,125.22
1103,2,2,4,7,403,17,17,3895,171,17,Favorite,Uniform,223.43
1104,2,2,5,6,461,12,12,1012,116,12,Uniform,Uniform,111.47
1105,2,1,6,6,378,29,29,5573,235,29,Favorite,Uniform,309.93
1106,2,1,3,3,301,17,17,57,9,17,Favorite,Uniform,139.66
1107,2,2,6,7,465,28,28,9554,184,28,Favorite,Uniform,358.51
1108,2,1,6,6,384,6,6,880,56,6,Favorite,Uniform,101.22
1109,2,1,4,4,456,14,14,6554,216,14,Favorite,Uniform,147.37
1110,2,1,4,4,390,11,11,758,26,11,Favorite,Uniform,127.98
1111,2,3,3,7,463,8,8,2682,165,8,Uniform,Uniform,102.48
1112,2,3,4,6,455,10,10,813,57,10,Favorite,Favorite,135.71
1113,2,2,6,7,224,11,11,1912,40,11,Favorite,Uniform,100.88
1114,2,2,8,8,335,19,19,2676,67,19,Favorite,Uniform,322.2
1115,2,4,4,7,370,12,12,710,43,12,Favorite,Uniform,160.48
1116,2,1,5,5,304,9,9,1330,117,9,Favorite,Uniform,181.51
1117,2,2,7,9,341,14,14,1621,112,14,Favorite,Uniform,154.07
1118,2,2,5,8,206,8,8,5988,379,8,Favorite,Uniform,104.24
1119,2,5,4,9,376,16,16,8250,101,16,Favorite,Uniform,171.77
1120,2,3,5,9,367,10,10,890,55,10,Favorite,Uniform,100.13
1121,2,2,5,7,228,6,6,1096,75,6,Favorite,Uniform,123.06
1122,2,1,6,6,257,26,26,888,112,26,Favorite,Uniform,196.52
1123,2,2,7,8,365,14,14,3864,302,14,Favorite,Uniform,196.3
1124,2,5,4,12,407,10,10,1172,160,10,Favorite,Uniform,123.03
1125,2,2,4,6,453,47,47,346,49,47,Favorite,Uniform,662.48
1126,2,2,5,7,366,11,11,1512,137,11,Favorite,Uniform,138.43
1127,2,3,3,8,377,8,8,1060,51,8,Favorite,Uniform,111.11
1128,2,4,6,11,390,12,10,1074,125,12,Uniform,Uniform,156.33
1129,2,3,4,6,406,16,13,2390,157,16,Favorite,Uniform,105.95
1130,2,3,7,11,372,19,19,2258,201,19,Uniform,Uniform,149.1
1131,2,2,3,5,356,9,9,1349,76,9,Favorite,Uniform,117.17
1132,2,1,5,5,321,13,12,5396,150,13,Favorite,Uniform,122.2
1133,2,1,7,7,182,8,8,333,19,8,Favorite,Uniform,101.58
1134,2,2,5,7,315,13,11,1523,51,13,Favorite,Uniform,142.64
1135,2,1,7,7,406,10,10,1474,45,10,Favorite,Uniform,124.9
1136,2,2,7,10,398,10,10,456,53,10,Favorite,Uniform,101.85
1137,2,2,4,5,423,12,12,3598,103,12,Favorite,Uniform,177.31
1138,2,1,7,7,299,19,19,923,47,19,Favorite,Uniform,179.93
1139,2,2,5,6,441,19,19,8201,353,19,Favorite,Uniform,222.1
1140,2,1,6,6,166,13,13,1214,58,13,Favorite,Uniform,156.67
1141,2,5,2,9,398,11,11,3091,161,11,Favorite,Uniform,103.29
1142,2,1,5,5,399,15,12,28,8,15,Favorite,Uniform,139.56
1143,2,3,5,11,368,13,13,495,27,13,Favorite,Uniform,113.35
1144,2,2,4,6,377,13,13,2943,111,13,Favorite,Uniform,129.17
1145,2,1,6,6,399,20,14,536,96,20,Favorite,Uniform,146.7
1146,2,1,6,6,384,11,11,531,48,11,Favorite,Uniform,178.13
1147,2,2,5,9,166,11,11,540,41,11,Favorite,Uniform,111.68
1148,2,1,7,7,420,14,11,1365,58,14,Uniform,Uniform,119.77
1149,2,1,5,5,376,11,11,2166,203,11,Favorite,Uniform,120.47
1150,2,1,7,7,333,10,10,940,114,10,Favorite,Uniform,117.23
1151,2,1,7,7,255,11,11,3509,98,11,Favorite,Uniform,159.69
1152,2,3,5,7,470,9,9,2264,52,9,Favorite,Uniform,112.89
1153,2,2,7,7,374,7,7,1071,55,7,Favorite,Uniform,101.2
1154,2,2,4,9,366,13,13,2354,45,13,Favorite,Uniform,118.12
1155,2,2,5,7,294,11,11,1621,81,11,Favorite,Uniform,103.04
1156,2,2,3,5,387,21,21,2546,187,21,Favorite,Uniform,207.86
1157,2,1,7,7,229,7,7,1246,42,7,Favorite,Uniform,117.74
1158,2,1,7,7,204,11,11,1908,38,11,Favorite,Uniform,110.43
1159,2,2,6,6,234,12,12,315,15,12,Favorite,Uniform,162.81
1160,2,2,3,6,395,18,11,1455,92,18,Favorite,Uniform,132.27
1161,2,2,4,7,392,14,14,1354,174,14,Favorite,Uniform,169.5
1162,2,2,6,9,400,8,8,1549,64,8,Favorite,Uniform,108.47
1163,2,2,5,7,377,13,13,2016,86,13,Favorite,Uniform,157.3
1164,2,2,4,6,455,12,12,132,22,12,Favorite,Uniform,118.1
1165,2,2,3,6,392,15,12,2924,96,15,Favorite,Uniform,107.49
1166,2,1,7,7,303,12,11,1749,31,12,Favorite,Uniform,162.7
1167,2,1,6,6,436,12,12,5233,147,12,Favorite,Uniform,132.73
1168,2,2,4,6,412,29,23,2196,98,29,Favorite,Uniform,291.08
1169,2,1,9,9,181,18,18,3104,135,18,Favorite,Uniform,167.81
1170,2,2,4,6,372,14,10,2572,99,14,Uniform,Uniform,136.56
1171,2,3,6,10,455,17,17,4599,357,17,Favorite,Uniform,134.89
1172,2,1,7,7,286,8,8,497,46,8,Favorite,Uniform,119.2
1173,2,1,6,6,403,12,12,509,93,12,Favorite,Uniform,125.38
1174,2,1,6,6,364,12,12,660,12,12,Favorite,Uniform,112.91
1175,2,1,6,6,383,13,13,249,59,13,Favorite,Uniform,150.76
1176,2,2,7,11,196,13,13,1138,69,13,Favorite,Uniform,176.27
1177,2,2,4,6,367,16,16,10,5,16,Favorite,Favorite,131.06
1178,2,1,6,6,272,5,5,768,48,5,Favorite,Uniform,111.03
1179,2,1,6,6,207,9,9,1207,140,9,Favorite,Uniform,127.98
1180,2,2,6,8,443,10,9,1383,103,10,Favorite,Uniform,128.38
1181,2,1,5,5,368,5,5,1530,64,5,Favorite,Favorite,113.71
1182,2,1,7,7,182,10,10,268,28,10,Favorite,Uniform,189.51
1183,2,1,7,7,469,8,8,1767,66,8,Favorite,Uniform,157.43
1184,2,2,6,21,213,12,12,1057,73,12,Favorite,Uniform,190.31
1185,2,1,7,7,336,10,10,1203,77,10,Favorite,Uniform,167.92
1186,2,3,5,21,374,8,8,1131,80,8,Favorite,Uniform,114.82
1187,2,3,7,20,382,16,16,347,60,16,Favorite,Uniform,179.66
1188,2,1,6,6,419,15,15,491,41,15,Favorite,Uniform,239.71
1189,2,1,5,5,454,10,10,548,44,10,Favorite,Uniform,121.9
1190,2,3,4,7,316,16,16,4443,163,16,Favorite,Uniform,147.17
1191,2,2,4,6,455,13,13,1217,86,13,Favorite,Uniform,231.79
1192,2,1,6,6,133,12,12,2737,45,12,Favorite,Uniform,132.7
1193,2,3,3,6,249,13,13,3583,93,13,Favorite,Uniform,121.67
1194,2,1,5,5,432,11,11,219,23,11,Favorite,Uniform,124.16
1195,2,4,4,12,101,17,17,346,19,17,Favorite,Uniform,200.4
1196,2,2,4,6,388,14,14,158,21,14,Favorite,Uniform,133.37
1197,2,2,6,9,119,10,10,852,71,10,Uniform,Uniform,112.08
1198,2,2,4,8,244,7,7,1115,124,7,Favorite,Uniform,109.34
1199,2,1,6,6,469,8,8,365,27,8,Favorite,Uniform,102.48
1200,2,2,2,6,343,8,8,1835,60,8,Favorite,Uniform,125.94
1201,2,6,4,9,460,24,24,3483,238,24,Favorite,Uniform,260.42
1202,2,3,5,9,382,19,19,812,106,19,Favorite,Uniform,208.59
1203,2,1,5,5,255,8,8,89,24,8,Favorite,Uniform,139.69
1204,2,1,6,6,256,7,7,1510,84,7,Favorite,Uniform,124.33
1205,2,3,7,9,464,23,23,3594,268,23,Favorite,Uniform,315.16
1206,2,2,5,8,179,14,14,275,37,14,Uniform,Uniform,122.83
1207,2,3,11,15,468,19,19,14402,300,19,Favorite,Uniform,300.37
1208,2,1,6,6,356,15,15,782,59,15,Favorite,Uniform,136.78
1209,2,2,5,6,367,12,12,1728,81,12,Favorite,Uniform,114.58
1210,2,2,3,7,378,18,18,488,96,18,Favorite,Uniform,141.65
1211,2,2,5,8,364,15,15,591,96,15,Favorite,Uniform,135.57
1212,2,2,4,6,370,12,9,466,19,12,Favorite,Uniform,121.29
1213,2,3,5,6,373,13,13,741,72,13,Favorite,Uniform,117.2
1214,2,2,5,7,184,11,11,998,59,11,Favorite,Uniform,121.97
1215,2,1,5,5,419,9,9,46,11,9,Favorite,Uniform,104.67
1216,2,3,6,8,394,11,11,3397,298,11,Favorite,Uniform,124.51
1217,2,3,4,6,462,12,12,5771,176,12,Favorite,Uniform,115.64
1218,2,1,6,6,470,18,18,2418,84,18,Favorite,Uniform,203.62
1219,2,3,8,8,331,13,11,188,28,13,Favorite,Uniform,101.73
1220,2,2,6,6,320,41,37,3377,353,41,Favorite,Uniform,469.56
1221,2,2,3,7,464,11,11,1939,100,11,Uniform,Uniform,104.34
1222,2,1,6,6,438,16,16,918,128,16,Favorite,Uniform,202.45
1223,2,1,5,5,247,13,13,150,20,13,Favorite,Uniform,106.43
1224,2,1,5,5,463,10,10,1978,35,10,Favorite,Uniform,157.67
1225,2,1,4,4,402,19,19,4948,177,19,Favorite,Uniform,280.66
1226,2,1,7,7,375,10,10,668,38,10,Favorite,Uniform,161.14
1227,2,2,5,5,373,18,18,887,115,18,Favorite,Uniform,186.6
1228,2,1,5,5,446,12,12,1478,55,12,Favorite,Uniform,160.64
1229,2,1,6,6,362,10,9,459,35,10,Favorite,Uniform,105.85
1230,2,1,7,7,309,14,14,108,19,14,Favorite,Uniform,113.2
1231,2,1,8,8,404,7,6,405,20,7,Favorite,Favorite,107.66
1232,2,2,5,7,369,9,8,892,71,9,Uniform,Uniform,103.87
1233,2,2,7,11,202,19,19,211,25,19,Favorite,Favorite,139.19
1234,2,1,7,7,324,11,11,1273,33,11,Favorite,Uniform,106.8
1235,2,2,5,10,427,9,9,2750,123,9,Favorite,Uniform,124.76
1236,2,1,5,5,226,7,7,1286,84,7,Favorite,Uniform,104.25
1237,2,2,15,15,365,21,21,5,3,21,Favorite,Uniform,112.62
1238,2,1,7,7,462,21,21,2863,156,21,Favorite,Uniform,313.08
1239,2,2,6,8,187,9,9,859,57,9,Favorite,Uniform,102.58
1240,2,2,3,5,468,10,10,1969,120,10,Favorite,Uniform,100.68
1241,2,2,5,5,388,14,13,5065,229,14,Uniform,Uniform,140.88
1242,2,1,4,4,468,21,15,1269,52,21,Favorite,Uniform,174.1
1243,2,1,5,5,155,10,10,116,19,10,Favorite,Uniform,114.99
1244,2,3,2,7,412,29,29,4195,240,29,Favorite,Uniform,375.2
1245,2,2,4,5,357,10,10,1393,46,10,Favorite,Uniform,129.55
1246,2,3,6,14,374,18,18,1088,118,18,Favorite,Uniform,135.55
1247,2,3,4,13,460,11,11,1503,71,11,Favorite,Uniform,134.48
1248,2,1,6,6,349,11,11,665,32,11,Favorite,Uniform,144.31
1249,2,1,5,5,352,19,19,3227,208,19,Favorite,Uniform,278.01
1250,2,1,5,5,372,26,21,124,29,26,Favorite,Uniform,162.51
1251,2,1,6,6,465,7,7,803,25,7,Favorite,Uniform,103.26
1252,2,1,5,5,447,14,14,623,31,14,Favorite,Uniform,124.15
1253,2,4,6,9,178,13,13,2329,141,13,Favorite,Uniform,191.34
1254,2,2,5,5,352,13,13,4480,177,13,Favorite,Uniform,147.69
1255,2,2,5,9,439,12,12,4116,100,12,Favorite,Uniform,116.26
1256,2,1,5,5,419,33,33,2655,201,33,Favorite,Uniform,275.83
1257,2,2,4,6,419,10,10,3599,149,10,Favorite,Uniform,119.23
1258,2,1,6,6,405,14,14,2125,124,14,Favorite,Uniform,117.16
1259,2,1,6,6,381,22,15,2111,51,22,Favorite,Uniform,130.55
1260,2,3,6,12,404,16,13,3343,290,16,Favorite,Uniform,147.19
1261,2,1,5,5,457,16,16,2556,44,16,Favorite,Uniform,135.99
1262,2,1,11,11,456,12,11,1587,98,12,Favorite,Uniform,164.47
1263,2,2,2,5,458,14,14,2982,171,14,Favorite,Uniform,170.75
1264,2,2,6,7,365,16,16,858,50,16,Favorite,Uniform,153.28
1265,2,1,6,6,467,15,15,1787,84,15,Favorite,Uniform,161.39
1266,2,3,4,18,195,12,12,532,26,12,Favorite,Uniform,127.38
1267,2,2,7,9,378,11,11,2633,71,11,Favorite,Uniform,122.53
1268,2,2,6,6,365,29,29,162,51,29,Favorite,Uniform,313.85
1269,2,4,5,7,440,9,9,1584,82,9,Favorite,Uniform,104.19
1270,2,2,3,6,365,13,13,2424,69,13,Favorite,Uniform,131.46
1271,2,2,7,10,457,18,18,4059,171,18,Favorite,Uniform,189.62
1272,2,3,3,6,367,14,14,98,18,14,Favorite,Uniform,154.38
1273,2,3,3,7,367,6,6,3283,106,6,Uniform,Favorite,112.17
1274,2,1,6,6,312,12,12,1936,192,12,Favorite,Uniform,108.65
1275,2,3,1,5,121,13,13,3129,106,13,Favorite,Uniform,105.9
1276,2,2,5,6,453,12,12,2476,210,12,Favorite,Uniform,148.38
1277,2,1,5,5,459,20,13,1176,47,20,Favorite,Uniform,112.09
1278,2,3,3,11,419,14,14,3940,63,14,Favorite,Uniform,116.72
1279,2,1,8,8,366,8,8,599,28,8,Favorite,Uniform,101.64
1280,2,1,6,6,227,14,14,613,56,14,Favorite,Uniform,113.55
1281,2,1,6,6,466,10,10,1533,50,10,Favorite,Uniform,112.8
1282,2,1,7,7,365,5,5,264,15,5,Favorite,Uniform,120.59
1283,2,2,5,8,236,12,11,686,57,12,Favorite,Uniform,148.06
1284,2,2,5,5,426,12,12,3310,194,12,Favorite,Uniform,100.21
1285,2,2,4,5,137,12,12,727,8,12,Favorite,Uniform,113.77
1286,2,2,5,6,373,32,32,0,0,32,Favorite,NONE,245.38
1287,2,1,5,5,312,12,12,303,18,12,Favorite,Uniform,121.53
1288,2,3,6,10,432,22,22,6147,503,22,Favorite,Uniform,190.73
1289,2,1,5,5,431,13,13,1776,87,13,Favorite,Uniform,125.18
1290,2,1,5,5,238,15,15,1002,133,15,Favorite,Uniform,128
1291,2,1,5,5,292,10,10,70,28,10,Favorite,Uniform,111.04
1292,2,3,5,7,224,14,14,204,31,14,Favorite,Uniform,114.26
1293,2,3,3,13,374,12,11,778,51,12,Favorite,Uniform,126.03
1294,2,1,5,5,381,22,21,2611,141,22,Favorite,Uniform,243.9
1295,2,3,4,8,363,8,8,750,43,8,Favorite,Uniform,116.89
1296,2,2,7,9,322,12,12,841,54,12,Favorite,Uniform,142.84
1297,2,2,3,6,381,7,7,231,30,7,Favorite,Uniform,104.12
1298,2,2,5,7,459,16,16,4413,117,16,Favorite,Uniform,114.33
1299,2,1,5,5,335,9,9,1582,34,9,Favorite,Uniform,111.18
1300,2,3,5,7,158,15,15,4014,146,15,Favorite,Uniform,109.46
1301,2,3,3,6,445,12,12,2908,119,12,Favorite,Uniform,147.56
1302,2,2,3,6,344,15,15,4142,159,15,Favorite,Uniform,162.19
1303,2,2,4,6,137,15,15,1131,28,15,Favorite,Uniform,181.57
1304,2,2,6,9,459,5,5,397,40,5,Favorite,Uniform,107.53
1305,2,2,4,6,367,9,9,35,7,9,Favorite,Favorite,150.88
1306,2,1,8,8,332,18,18,597,106,18,Favorite,Uniform,138.56
1307,2,1,4,4,457,13,10,664,49,13,Favorite,Uniform,113.95
1308,2,1,6,6,463,6,6,662,39,6,Favorite,Uniform,103.51
1309,2,1,6,6,220,16,16,391,32,16,Favorite,Uniform,137.24
1310,2,1,7,7,464,13,13,684,91,13,Favorite,Uniform,115.29
1311,2,1,6,6,307,11,10,667,27,11,Favorite,Uniform,123.91
1312,2,1,6,6,273,29,29,2112,94,29,Favorite,Uniform,242.12
1313,2,1,7,7,303,15,15,1799,68,15,Favorite,Uniform,154.71
1314,2,2,3,5,454,6,6,749,39,6,Favorite,Uniform,101.67
1315,2,2,5,7,461,10,10,1440,77,10,Favorite,Uniform,139.68
1316,2,1,6,6,158,22,22,1070,128,22,Favorite,Uniform,222.87
1317,2,1,6,6,261,9,9,2095,104,9,Favorite,Uniform,124.2
1318,2,2,4,7,461,12,12,671,113,12,Favorite,Uniform,106.05
1319,2,2,4,6,460,16,16,3942,106,16,Favorite,Uniform,133.59
1320,2,1,5,5,358,15,15,107,20,15,Favorite,Uniform,101.12
1321,2,2,5,7,407,14,14,4283,171,14,Favorite,Uniform,157.27
1322,2,5,1,6,295,16,16,7097,253,16,Favorite,Uniform,166.87
1323,2,2,6,19,103,8,8,3607,72,8,Favorite,Uniform,105.83
1324,2,1,5,5,301,7,7,375,10,7,Favorite,Uniform,135.99
1325,2,5,4,19,422,14,14,4898,231,14,Favorite,Uniform,168.38
1326,2,3,5,10,454,12,12,620,91,12,Favorite,Uniform,111.79
1327,2,2,6,20,334,9,9,264,39,9,Favorite,Favorite,110.11
1328,2,1,4,4,201,12,8,94,17,12,Favorite,Favorite,111.45
1329,2,2,3,6,423,13,13,1238,58,13,Favorite,Uniform,106.3
1330,2,1,5,5,410,14,14,7809,253,14,Favorite,Uniform,161.82
1331,2,3,5,7,363,19,12,681,72,19,Favorite,Uniform,214.22
1332,2,1,5,5,228,8,8,1625,37,8,Favorite,Uniform,118.31
1333,2,2,4,4,406,10,10,3500,128,10,Favorite,Uniform,141.69
1334,2,2,5,20,306,9,9,1614,73,9,Favorite,Uniform,104.62
1335,2,3,6,13,304,9,9,783,36,9,Favorite,Uniform,138.52
1336,2,1,6,6,361,17,17,557,21,17,Favorite,Favorite,240.34
1337,2,1,5,5,127,8,8,741,27,8,Favorite,Uniform,116.45
1338,2,3,5,9,360,13,13,231,24,13,Favorite,Uniform,103.79
1339,2,2,4,8,448,10,10,802,44,10,Favorite,Uniform,102.72
1340,2,2,5,6,412,8,8,1373,46,8,Favorite,Uniform,102.54
1341,2,3,7,20,451,11,11,1084,62,11,Favorite,Uniform,143.05
1342,2,1,5,5,332,10,10,831,70,10,Favorite,Uniform,125.32
1343,2,2,6,8,400,9,9,5944,209,9,Favorite,Uniform,168.44
1344,2,1,4,4,163,11,11,89,23,11,Favorite,Uniform,134.21
1345,2,1,5,5,388,15,15,649,102,15,Favorite,Uniform,169.47
1346,2,1,5,5,433,17,16,4002,118,17,Favorite,Uniform,179.63
1347,2,2,4,7,297,12,12,1815,195,12,Favorite,Uniform,112.59
1348,2,3,1,5,392,21,21,582,50,21,Favorite,Uniform,202.08
1349,2,2,6,6,364,17,17,396,58,17,Favorite,Uniform,192.1
1350,2,1,3,3,435,10,10,1625,81,10,Favorite,Uniform,115.31
1351,2,2,4,7,444,7,7,1782,66,7,Favorite,Uniform,113.98
1352,2,2,5,7,359,27,27,2465,123,27,Favorite,Uniform,380.34
1353,2,2,6,9,406,8,8,2164,60,8,Favorite,Uniform,112.48
1354,2,1,4,4,281,18,18,253,20,18,Favorite,Uniform,143.05
1355,2,1,5,5,449,13,12,1777,83,13,Favorite,Uniform,125.4
1356,2,2,4,6,427,13,13,826,89,13,Favorite,Uniform,116.26
1357,2,1,5,5,450,51,51,5039,282,51,Favorite,Uniform,582.26
1358,2,1,4,4,442,9,9,468,60,9,Favorite,Uniform,101.55
1359,2,3,3,6,425,19,19,2590,329,19,Favorite,Uniform,147.36
1360,2,3,8,11,410,13,13,1513,155,13,Favorite,Uniform,102.18
1361,2,2,6,6,280,9,7,772,73,9,Favorite,Uniform,130.23
1362,2,1,6,6,396,17,15,1224,48,17,Favorite,Uniform,242.87
1363,2,2,5,5,293,15,14,2434,95,15,Favorite,Uniform,188.29
1364,2,2,2,5,402,16,16,498,61,16,Favorite,Uniform,131.67
1365,2,1,5,5,419,17,17,3419,137,17,Favorite,Uniform,184.62
