Id,Model,Price,Age_06_15
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,54
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,51
97, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,53
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,53
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,45
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,52
101, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,54
102, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,53
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,47
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,45
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,45
106, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,53
107, TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,48
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,51
109, TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,54
111, TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,38
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,38
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,38
114, TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,42
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,42
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,41
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,42
118, TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,42
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,41
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,54
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,51
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,47
123, TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,53
124, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,48
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,54
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,51
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,50
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,54
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,54
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,51
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,47
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,54
133, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,54
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,53
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,47
136, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,54
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,53
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,53
139, TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,47
140,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,23000,45
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,54
142,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,54
143, TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,53
144, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,47
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,50
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,49
147, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,50
148, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,54
149,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,47
150,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,53
151,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,48
152, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,54
153,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,53
154,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,44
155, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,46
156,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,47
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,49
158,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,50
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,45
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,51
161,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,50
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,50
163, TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,51
164,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,43
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,48
166,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,45
167,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,48
168,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,48
169,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,48
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,46
171,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,43
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,43
173,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,42
174,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,42
175, TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,42
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,42
177,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,42
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,42
179,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,41
180,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,42
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,40
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,41
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,41
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,36
185,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,36
186, TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,35
187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,35
188,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6950,77
189,TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,9500,72
190,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,11950,74
191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,7750,77
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11950,74
193,TOYOTA Corolla 1.8D Stationwagen,4350,78
194,TOYOTA Corolla 1.8D 4/5-Doors,4750,78
195,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,11750,74
196,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,75
197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,71
198,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,11900,78
199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,73
200,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,76
201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,73
202,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,78
203,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,11250,74
204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,76
205,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,10450,69
206,TOYOTA Corolla 19D LB Linea Terra 4/5-Doors,12950,77
207,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,78
208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,74
209,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,77
210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,75
211,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,71
212,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,75
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,74
214,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,68
215,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,74
216,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13500,67
217,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,67
218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,67
219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,75
220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,78
221,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,72
222,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,11950,77
223,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,12450,78
224,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,74
225,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,14950,78
226,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,69
227,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,72
228,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11950,69
229,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,68
230,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12450,76
231,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12750,70
232,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11925,78
233,TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,12950,67
234,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11950,76
235,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12900,75
236,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11900,75
237,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11650,72
238,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10950,78
239,TOYOTA Corolla 1.9 D HB SOL 2/3-Doors,13950,69
240,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13950,78
241,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,11950,74
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,72
243,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,72
244,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11950,77
245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,67
246,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11690,67
247,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13500,73
248,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11950,76
249,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12900,73
250,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,13500,77
251,TOYOTA Corolla 1.6 GL LB 4/5-Doors,11750,76
252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,67
253,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10850,77
254,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,77
255,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,14950,76
256,TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,9940,73
257,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,12900,76
258,TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,13500,72
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,78
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,78
261,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,67
262,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,75
263,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12495,73
264,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,13500,75
265,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,74
266,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12000,73
267,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,72
268,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12495,78
269,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12450,68
270,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,74
271,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,73
272,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,67
273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,72
274,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,69
275,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,13450,68
276,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,13500,77
277,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11480,75
278,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13450,73
279,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11495,73
280,TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,12750,77
281,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,72
282,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12950,69
283,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,74
284,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,12850,73
285,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,13950,74
286,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,75
287,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,73
288,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11700,74
289,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,71
290,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,78
291,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,77
292,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,70
293,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13875,73
294,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,69
295,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12295,67
296,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,76
297,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,72
298,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,78
299,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12850,74
300,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13995,69
301,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13750,73
302,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,71
303,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12500,75
304,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13950,77
305,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,73
306,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,13950,78
307,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,75
308,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,78
309,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 2/3-Doors,13500,76
